,mitigation,tRH,trace,ipc_0,VRR,RFM,RRS_reswap,RRS_unswap,RRS_swap,AQUA_migrate,AQUA_r_migrate,total_energy,insn_0,aipc_0,soa_0,aos_0,weighted_speedup,harmonic_speedup,max_slowdown,min_insn,weighted_speedup_base,harmonic_speedup_base,max_slowdown_base,total_energy_base,norm_weighted_speedup,norm_harmonic_speedup,norm_max_slowdown,norm_energy
1953,RFM,128,wc_map0,0.2494058230552696,0,63084,0,0,0,0,0,10404789.330139607,100000001,0.3102108381132712,0.8039881023247837,1.243799500401107,0.8039881023247837,0.8039881023247836,0.19601189767521632,100000001,1.0,1.0,0.0,8286409.846323402,0.8039881023247837,0.8039881023247836,inf,1.2556450288005137
1954,RFM,64,wc_map0,0.1904932025168266,0,176270,0,0,0,0,0,13896648.791533513,100000001,0.3102108381132712,0.6140765541121082,1.628461456969152,0.6140765541121082,0.6140765541121082,0.38592344588789185,100000001,1.0,1.0,0.0,8286409.846323402,0.6140765541121082,0.6140765541121082,inf,1.6770409681943645
1955,RFM,20,wc_map0,0.0892231382915401,0,746091,0,0,0,0,0,31142947.465758026,100000001,0.3102108381132712,0.2876209575210294,3.476798104765662,0.2876209575210294,0.2876209575210294,0.7123790424789707,100000001,1.0,1.0,0.0,8286409.846323402,0.2876209575210294,0.2876209575210294,inf,3.758316091446508
1956,Dummy,0,wc_map0,0.3102108381132712,0,0,0,0,0,0,0,8286409.846323402,100000001,0.3102108381132712,1.0,1.0,1.0,1.0,0.0,100000001,1.0,1.0,0.0,8286409.846323402,1.0,1.0,,1.0
1957,Chronus,1024,tpch2,0.7802069486447969,0,0,0,0,0,0,0,3628112.126087607,100000000,0.7802069486447969,1.0,1.0,1.0,1.0,0.0,100000000,1.0,1.0,0.0,3329225.0276875,1.0,1.0,,1.0897767786540147
1958,Chronus,512,tpch2,0.7801669089084918,0,0,0,0,0,0,0,3627882.761618469,100000000,0.7802069486447969,0.9999486806207319,1.000051322013082,0.9999486806207319,0.9999486806207318,5.131937926805552e-05,100000000,1.0,1.0,0.0,3329225.0276875,0.9999486806207319,0.9999486806207318,inf,1.0897078844016796
1959,Chronus,256,tpch2,0.7801669089084918,0,0,0,0,0,0,0,3627467.6107780696,100000000,0.7802069486447969,0.9999486806207319,1.000051322013082,0.9999486806207319,0.9999486806207318,5.131937926805552e-05,100000000,1.0,1.0,0.0,3329225.0276875,0.9999486806207319,0.9999486806207318,inf,1.089583185459149
1960,Chronus,128,tpch2,0.7798640597121322,0,0,0,0,0,0,0,3629549.894741613,100000000,0.7802069486447969,0.9995605154077899,1.0004396778238391,0.9995605154077899,0.99956051540779,0.0004394845922101043,100000000,1.0,1.0,0.0,3329225.0276875,0.9995605154077899,0.99956051540779,inf,1.0902086415176087
1961,Chronus,64,tpch2,0.7788652970071182,0,0,0,0,0,0,0,3630421.375251419,100000000,0.7802069486447969,0.9982803900426558,1.001722572109496,0.9982803900426558,0.9982803900426558,0.0017196099573442147,100000000,1.0,1.0,0.0,3329225.0276875,0.9982803900426558,0.9982803900426558,inf,1.0904704082959304
1962,Chronus,32,tpch2,0.7728400750594646,0,0,0,0,0,0,0,3648590.8533742074,100000000,0.7802069486447969,0.990557795469358,1.0095322096033457,0.990557795469358,0.9905577954693581,0.00944220453064204,100000000,1.0,1.0,0.0,3329225.0276875,0.990557795469358,0.9905577954693581,inf,1.0959279781422708
1963,Chronus,20,tpch2,0.6959697588333943,0,0,0,0,0,0,0,3899704.3218077,100000000,0.7802069486447969,0.8920322486774556,1.1210357041268626,0.8920322486774556,0.8920322486774556,0.10796775132254444,100000000,1.0,1.0,0.0,3329225.0276875,0.8920322486774556,0.8920322486774556,inf,1.1713549818278455
1964,Chronus+PB,1024,tpch2,0.7802069486447969,0,0,0,0,0,0,0,3628112.126087607,100000000,0.7802069486447969,1.0,1.0,1.0,1.0,0.0,100000000,1.0,1.0,0.0,3329225.0276875,1.0,1.0,,1.0897767786540147
1965,Chronus+PB,512,tpch2,0.7802069486447969,0,0,0,0,0,0,0,3628128.8798515694,100000000,0.7802069486447969,1.0,1.0,1.0,1.0,0.0,100000000,1.0,1.0,0.0,3329225.0276875,1.0,1.0,,1.0897818109855102
1966,Chronus+PB,256,tpch2,0.779964983316081,0,0,0,0,0,0,0,3628063.143138788,100000000,0.7802069486447969,0.9996898703233339,1.00031022588692,0.9996898703233339,0.9996898703233339,0.00031012967666610436,100000000,1.0,1.0,0.0,3329225.0276875,0.9996898703233339,0.9996898703233339,inf,1.089762065635696
1967,Chronus+PB,128,tpch2,0.7797022787937463,0,0,0,0,0,0,0,3630322.838399794,100000000,0.7802069486447969,0.9993531589895127,1.0006472596845957,0.9993531589895127,0.9993531589895127,0.0006468410104872868,100000000,1.0,1.0,0.0,3329225.0276875,0.9993531589895127,0.9993531589895127,inf,1.090440810761728
1968,Chronus+PB,64,tpch2,0.7699767938234063,0,0,0,0,0,0,0,3658479.1283139195,100000000,0.7802069486447969,0.9868878957830867,1.0132863157740009,0.9868878957830867,0.9868878957830867,0.013112104216913334,100000000,1.0,1.0,0.0,3329225.0276875,0.9868878957830867,0.9868878957830867,inf,1.0988981213009568
1969,Chronus+PB,32,tpch2,0.5007266244337808,0,0,0,0,0,0,0,4916203.490078226,100000000,0.7802069486447969,0.641786932689503,1.5581495182666811,0.641786932689503,0.641786932689503,0.35821306731049696,100000000,1.0,1.0,0.0,3329225.0276875,0.641786932689503,0.641786932689503,inf,1.476681044144694
1970,Chronus+PB,20,tpch2,0.1593616520423267,0,0,0,0,0,0,0,12723929.137196168,100000000,0.7802069486447969,0.20425561746038604,4.895826183061737,0.20425561746038604,0.20425561746038604,0.795744382539614,100000000,1.0,1.0,0.0,3329225.0276875,0.20425561746038604,0.20425561746038604,inf,3.8218891878372925
1971,Graphene,1024,tpch2,0.7802679109172496,17,0,0,0,0,0,0,3328987.5145625,100000000,0.7802069486447969,1.0000781360285993,0.9999218700761627,1.0000781360285993,1.0000781360285993,-7.813602859929603e-05,100000000,1.0,1.0,0.0,3329225.0276875,1.0000781360285993,1.0000781360285993,-inf,0.999928658134243
1972,Graphene,512,tpch2,0.7798031605266136,105,0,0,0,0,0,0,3330669.9815000007,100000000,0.7802069486447969,0.9994824602384218,1.0005178077476766,0.9994824602384218,0.9994824602384217,0.0005175397615782007,100000000,1.0,1.0,0.0,3329225.0276875,0.9994824602384218,0.9994824602384217,inf,1.0004340210711151
1973,Graphene,256,tpch2,0.7787316063205221,387,0,0,0,0,0,0,3335539.4308125004,100000000,0.7802069486447969,0.9981090371896361,1.0018945453251162,0.9981090371896361,0.9981090371896361,0.0018909628103639387,100000000,1.0,1.0,0.0,3329225.0276875,0.9981090371896361,0.9981090371896361,inf,1.001896658553413
1974,Graphene,128,tpch2,0.7745229834932035,1514,0,0,0,0,0,0,3351394.2064375,100000000,0.7802069486447969,0.9927147980911137,1.0073386655693004,0.9927147980911137,0.9927147980911137,0.007285201908886263,100000000,1.0,1.0,0.0,3329225.0276875,0.9927147980911137,0.9927147980911137,inf,1.0066589607387995
1975,Graphene,64,tpch2,0.7384553363455812,9871,0,0,0,0,0,0,3499162.199,100000000,0.7802069486447969,0.9464864900630053,1.0565391165101918,0.9464864900630053,0.9464864900630052,0.05351350993699466,100000000,1.0,1.0,0.0,3329225.0276875,0.9464864900630053,0.9464864900630052,inf,1.051044062777138
1976,Graphene,32,tpch2,0.6500917032358419,28968,0,0,0,0,0,0,3927731.9081250015,100000000,0.7802069486447969,0.8332298300662888,1.2001490632187801,0.8332298300662888,0.8332298300662889,0.1667701699337112,100000000,1.0,1.0,0.0,3329225.0276875,0.8332298300662888,0.8332298300662889,inf,1.1797736336414688
1977,Graphene,20,tpch2,0.6026228799275117,47060,0,0,0,0,0,0,4212299.733000001,100000000,0.7802069486447969,0.7723885066318046,1.2946852411887289,0.7723885066318046,0.7723885066318046,0.22761149336819542,100000000,1.0,1.0,0.0,3329225.0276875,0.7723885066318046,0.7723885066318046,inf,1.265249329188748
1978,Hydra,1024,tpch2,0.7789409633944951,24,0,0,0,0,0,0,3349063.03525,100000000,0.7802069486447969,0.9983773725003338,1.0016252646988608,0.9983773725003338,0.9983773725003338,0.0016226274996662404,100000000,1.0,1.0,0.0,3329225.0276875,0.9983773725003338,0.9983773725003338,inf,1.0059587463741613
1979,Hydra,512,tpch2,0.7792769256172459,125,0,0,0,0,0,0,3345441.967875,100000000,0.7802069486447969,0.9988079790507296,1.0011934435589944,0.9988079790507296,0.9988079790507297,0.0011920209492704004,100000000,1.0,1.0,0.0,3329225.0276875,0.9988079790507296,0.9988079790507297,inf,1.004871085628827
1980,Hydra,256,tpch2,0.7758188859499922,557,0,0,0,0,0,0,3358904.499,100000000,0.7802069486447969,0.9943757708100053,1.005656040055575,0.9943757708100053,0.9943757708100054,0.005624229189994723,100000000,1.0,1.0,0.0,3329225.0276875,0.9943757708100053,0.9943757708100054,inf,1.0089148288462542
1981,Hydra,128,tpch2,0.7548946235046103,3163,0,0,0,0,0,0,3445238.578750001,100000000,0.7802069486447969,0.9675569088635348,1.0335309384277684,0.9675569088635348,0.9675569088635348,0.03244309113646515,100000000,1.0,1.0,0.0,3329225.0276875,0.9675569088635348,0.9675569088635348,inf,1.0348470139740251
1982,Hydra,64,tpch2,0.7041950469300579,11983,0,0,0,0,0,0,3671441.2285,100000000,0.7802069486447969,0.9025746927186817,1.1079415455222432,0.9025746927186817,0.9025746927186817,0.09742530728131826,100000000,1.0,1.0,0.0,3329225.0276875,0.9025746927186817,0.9025746927186817,inf,1.1027915499752823
1983,Hydra,32,tpch2,0.6120504357958236,31910,0,0,0,0,0,0,4176826.533187501,100000000,0.7802069486447969,0.7844719107653968,1.2747429019151442,0.7844719107653968,0.7844719107653968,0.2155280892346032,100000000,1.0,1.0,0.0,3329225.0276875,0.7844719107653968,0.7844719107653968,inf,1.254594236932296
1984,Hydra,20,tpch2,0.5610320134516626,52597,0,0,0,0,0,0,4526128.945687501,100000000,0.7802069486447969,0.719081026420187,1.3906638657653319,0.719081026420187,0.719081026420187,0.280918973579813,100000000,1.0,1.0,0.0,3329225.0276875,0.719081026420187,0.719081026420187,inf,1.3595142737561892
1985,PARA,1024,tpch2,0.6936069718265448,18491,0,0,0,0,0,0,3702749.5945625007,100000000,0.7802069486447969,0.8890038380603065,1.1248545362659772,0.8890038380603065,0.8890038380603066,0.11099616193969353,100000000,1.0,1.0,0.0,3329225.0276875,0.8890038380603065,0.8890038380603066,inf,1.1121956502695323
1986,PARA,512,tpch2,0.62703178677448,36850,0,0,0,0,0,0,4060765.5990625015,100000000,0.7802069486447969,0.8036736764054987,1.2442861193022872,0.8036736764054987,0.8036736764054986,0.1963263235945013,100000000,1.0,1.0,0.0,3329225.0276875,0.8036736764054987,0.8036736764054986,inf,1.2197329904981322
1987,PARA,256,tpch2,0.5235585099147846,73932,0,0,0,0,0,0,4794586.6026875,100000000,0.7802069486447969,0.6710508164842607,1.4902001091946435,0.6710508164842607,0.6710508164842607,0.3289491835157393,100000000,1.0,1.0,0.0,3329225.0276875,0.6710508164842607,0.6710508164842607,inf,1.4401509548959053
1988,PARA,128,tpch2,0.3948304938203421,147742,0,0,0,0,0,0,6244069.6445,100000000,0.7802069486447969,0.5060586739276731,1.9760554487460913,0.5060586739276731,0.5060586739276731,0.4939413260723269,100000000,1.0,1.0,0.0,3329225.0276875,0.5060586739276731,0.5060586739276731,inf,1.8755324715425346
